"filename","title","duration_seconds","rumble_url","caption_url","player_id"
"v70nms4_10-22-25-Psyche-Awakens-VOD-choose-me-going-crqzy-or-Samman-playing-kids-games-your-choice.srt","10/22/25 Psyche Awakens VOD: ""choose me going crqzy or Samman playing kids games. your choice""","21452","https://rumble.com/v70nms4-102225-psyche-awakens-vod-choose-me-going-crqzy-or-samman-playing-kids-game.html","https://hugh.cdn.rumble.cloud/video/fwe2/b3/s8/11/u/8/0/s/u80sz.fn8Si.vtt","v6ygyu0"
"v70mbva_10-21-25-Psyche-Awakens-VOD-Time-to-Have-FUN.srt","10/21/25 Psyche Awakens VOD: ""Time to Have FUN""","858","https://rumble.com/v70mbva-102125-psyche-awakens-vod-time-to-have-fun.html","https://hugh.cdn.rumble.cloud/video/fwe2/6e/s8/11/w/g/M/s/wgMsz.fn8Si.vtt","v6yfnx6"
"v70m530_10-20-25-Psyche-Awakens-VOD-Bronze-Chicken-Modding-with-his-FEE-FEES-PLUS-Evil.srt","10/20/25 Psyche Awakens VOD: ""Bronze Chicken Modding with his FEE FEES. PLUS Evil...""","29901","https://rumble.com/v70m530-102025-psyche-awakens-vod-bronze-chicken-modding-with-his-fee-fees.-plus-ev.html","https://hugh.cdn.rumble.cloud/video/fww1/15/s8/11/8/8/J/s/88Jsz.fn8Si.vtt","v6yfh4w"
"v70m0s6_10-21-25-Psyche-Awakens-VOD-BOO.srt","10/21/25 Psyche Awakens VOD: ""BOO""","705","https://rumble.com/v70m0s6-102125-psyche-awakens-vod-boo.html","https://hugh.cdn.rumble.cloud/video/fww1/88/s8/11/2/L/I/s/2LIsz.fn8Si.vtt","v6yfcu2"
"v70kpta_10-20-25-Psyche-Awakens-VOD-A-Secret-Door-Out.srt","10/20/25 Psyche Awakens VOD: ""A Secret Door Out""","8095","https://rumble.com/v70kpta-102025-psyche-awakens-vod-a-secret-door-out.html","https://hugh.cdn.rumble.cloud/video/fwe2/36/s8/11/U/U/t/s/UUtsz.fn8Si.vtt","v6ye1v6"
"v70ko3u_10-20-25-Psyche-Awakens-VOD-Why-You-So-Obsessed-With-Me-Song-for-Tony.srt","10/20/25 Psyche Awakens VOD: ""Why You So Obsessed With Me (Song for Tony)""","874","https://rumble.com/v70ko3u-102025-psyche-awakens-vod-why-you-so-obsessed-with-me-song-for-tony.html","https://hugh.cdn.rumble.cloud/video/fwe2/6c/s8/11/k/m/t/s/kmtsz.fn8Si.vtt","v6ye05q"
"v70k6ec_10-20-25-Psyche-Awakens-VOD-Spend-Some-Time-With-Me.srt","10/20/25 Psyche Awakens VOD: ""Spend Some Time With Me""","9481","https://rumble.com/v70k6ec-102025-psyche-awakens-vod-spend-some-time-with-me.html","https://hugh.cdn.rumble.cloud/video/fww1/eb/s8/11/K/L/n/s/KLnsz.fn8Si.vtt","v6ydig8"
"v70k692_10-19-25-Psyche-Awakens-VOD-WOW-Ghostober-Continues-What-Could-Happen-Next.srt","10/19/25 Psyche Awakens VOD: ""WOW! Ghostober Continues! What Could Happen Next?""","11008","https://rumble.com/v70k692-101925-psyche-awakens-vod-wow-ghostober-continues-what-could-happen-next.html","https://hugh.cdn.rumble.cloud/video/fwe2/db/s8/11/M/I/n/s/MInsz.fn8Si.vtt","v6ydiay"
"v70k55i_10-20-25-Psyche-Awakens-VOD-Some-People-Need-to-Mind-their-Own-Beezwax-Ghostober-Continues.srt","10/20/25 Psyche Awakens VOD: ""Some People Need to Mind their Own Beezwax! Ghostober Continues!""","8516","https://rumble.com/v70k55i-102025-psyche-awakens-vod-some-people-need-to-mind-their-own-beezwax-ghosto.html","https://hugh.cdn.rumble.cloud/video/fww1/05/s8/11/w/m/n/s/wmnsz.fn8Si.vtt","v6ydh7e"
"v70k160_10-20-25-Psyche-Awakens-VOD-YURRRRRD-Dum-Dum-Its-Ghostoberfest.srt","10/20/25 Psyche Awakens VOD: ""YURRRRRD Dum Dum Its Ghostoberfest!""","3939","https://rumble.com/v70k160-102025-psyche-awakens-vod-yurrrrrd-dum-dum-its-ghostoberfest.html","https://hugh.cdn.rumble.cloud/video/fww1/fe/s8/11/O/7/l/s/O7lsz.fn8Si.vtt","v6ydd7w"
"v70hqys_10-18-25-Psyche-Awakens-VOD-Psyche-Awakens-TV-is-live.srt","10/18/25 Psyche Awakens VOD: ""Psyche Awakens TV is live!""","1617","https://rumble.com/v70hqys-101825-psyche-awakens-vod-psyche-awakens-tv-is-live.html","https://hugh.cdn.rumble.cloud/video/fwe2/6a/s8/11/e/7/X/r/e7Xrz.fn8Si.vtt","v6yb30o"
"v70hmr8_10-18-25-Psyche-Awakens-VOD-Everythings-OK-Ghostober-is-SAVED.srt","10/18/25 Psyche Awakens VOD: ""Everythings OK Ghostober is SAVED""","2191","https://rumble.com/v70hmr8-101825-psyche-awakens-vod-everythings-ok-ghostober-is-saved.html","https://hugh.cdn.rumble.cloud/video/fwe2/14/s8/11/0/L/W/r/0LWrz.fn8Si.vtt","v6yayt4"
"v70hmh2_10-18-25-Psyche-Awakens-VOD-Ghostober-Continues-Just-Woke-Up-from-the-CRAZIEST-Dreams.srt","10/18/25 Psyche Awakens VOD: ""Ghostober Continues Just Woke Up from the CRAZIEST Dreams""","1037","https://rumble.com/v70hmh2-101825-psyche-awakens-vod-ghostober-continues-just-woke-up-from-the-crazies.html","https://hugh.cdn.rumble.cloud/video/fwe2/aa/s8/11/g/G/W/r/gGWrz.fn8Si.vtt","v6yayiy"
"v70gpvk_10-18-25-Psyche-Awakens-VOD-INSANITY.srt","10/18/25 Psyche Awakens VOD: ""INSANITY""","15463","https://rumble.com/v70gpvk-101825-psyche-awakens-vod-insanity.html","https://hugh.cdn.rumble.cloud/video/fwe2/3a/s8/11/a/m/M/r/amMrz.fn8Si.vtt","v6ya1xg"
"v70gpg8_10-18-25-Psyche-Awakens-VOD-Lets-Get-RESTARTED.srt","10/18/25 Psyche Awakens VOD: ""Lets Get RESTARTED""","6849","https://rumble.com/v70gpg8-101825-psyche-awakens-vod-lets-get-restarted.html","https://hugh.cdn.rumble.cloud/video/fwe2/ec/s8/11/y/d/M/r/ydMrz.fn8Si.vtt","v6ya1i4"
